Project name,Tech provider ,Website,Customer/Owner,State,Power [MW],Energy  [MWh],Duration [h],Technology Type,Detailed Technology,Status
Sacramento Power Academy,ESS,"https://www.smud.org/Corporate/About-us/News-and-Media/2024/2024/SMUDs-$10-million-state-grant-advances-long-duration-battery-storage-technology-in-Sacramento#:~:text=In%20September%202023%2C%20ESS%20commissioned,%2Dfunded%203.6%2Dmegawatt%20addition.",Sacramento Municipality Utility,California,0.3,3,12,Electrochemical,Iron Flow,Operational
EarthStore,Sage Geosystems,https://www.sagegeosystems.com/,NA,Texas,0.2,3.6,18,Mechanical,Geopressured Geothermal System (GGS),Operational
Soboba Fire Station,Invinity,"https://invinity.com/case-study-soboba-fire-station/#:~:text=Invinity%20has%20delivered%20a%200.5,Station%20near%20San%20Jacinto%2C%20California.",Soboba Band of Luiseño Indians,California,0.05,0.5,10,Electrochemical,Vanadium Flow,Operational
Team Toyota of Glen Mills,ESS,https://www.solarpowerworldonline.com/2025/10/pennsylvania-toyota-dealership-installs-significant-solar-storage-system/,TerraSol Energies,Pensylvania,0.075,0.5,7,Electrochemical,Iron Flow,Operational
BWP EcoCampus,ESS,https://essinc.com/ess-and-burbank-water-power-celebrate-commissioning-of-first-iron-flow-battery-system-on-bwp-ecocampus/,Burbank Water and Power,California,0.075,0.5,7,Electrochemical,Iron Flow,Operational
Solana Generating Station,Abengoa,https://solarpaces.nrel.gov/project/solana-generating-station,Atlantica Sustainable Infrastructure Liberty Interactive Corporation,Arizona,250,1500,6,Thermal,Molten Salt TES,Operational
McIntosh CAES Plant,PowerSouth Energy Cooperative,https://www.baldwinemc.com/compressed-air-energy-storage-technology-generating-electricity-out-of-thin-air/,PowerSouth Energy Cooperative,Alabama,110,2860,26,Mechanical,Compressed Air Storage,Operational
Moss Landing Power Plant,Vistra Energy,https://www.energy-storage.news/moss-landing-worlds-biggest-battery-storage-project-is-now-3gwh-,Pacific Gas and Electric Company,California,300,1200,4,Electrochemical,Lithium-ion,Operational
Yards Creek Pumped Storage,,https://hydroreform.org/hydro-project/yards-creek-p-2309/,Jersey Central Power & Lt Co,New Jersey,151,906,6,Mechanical,Pumped Hydro Storage,Operational
Cabin Creek Generating Station,Xcel Energy,https://co.my.xcelenergy.com/customersupport/s/projects/cabin-creek-pumped-storage-project,Colorado Public Utility Comission,Colorado,324,1296,4,Mechanical,Pumped Hydro Storage,Operational
San Luis (William R. Gianelli) Pumped Storage Hydroelectric Powerplant,,https://www.usbr.gov/projects/pdf.php?id=55,U S Bureau of Reclamation (45%); California Dept. of Water Resources (55%),California,53,424,8,Mechanical,Pumped Hydro Storage,Operational
Northfield Mountain Pumped Storage Hydroelectricity Facility,,https://firstlight.energy/energy/northfield-mountain-generating-station/,FirstLight Power Resources (GDF Suez Energy North America),Massachusetts,1119,8482.02,7.58,Mechanical,Pumped Hydro Storage,Operational
Castaic Pumped-Storage Plant,"Toshiba Hydro Power, ABB",https://www.power-technology.com/data-insights/power-plant-profile-castaic-us/,"Los Angeles Department of Water and Power, Department of Water Resources of the State of California",California,1247,12470,10,Mechanical,Pumped Hydro Storage,Operational
Ludington Pumped Storage,,https://www.consumersenergy.com/about-us/electric-generation/renewables/hydroelectric/pumped-storage-hydro-electricity,"Consumers Energy Co (51%), Detroit Edison (DTE) Electric Company(49%)",Michigan,2172,19548,9,Mechanical,Pumped Hydro Storage,Operational
John W. Keys III Pump-Generating Plant,HDR,http://www.usbr.gov/pn/grandcoulee/pubs/powergeneration.pdf,Bonneville Power Administration,Washington,314,25120,80,Mechanical,Pumped Hydro Storage,Operational
Blenheim-Gilboa Pumped Storage Power Project,Hitachi,https://en.wikipedia.org/wiki/Blenheim%E2%80%93Gilboa_Hydroelectric_Power_Station,New York Power Authority (NYPA),New York,1160,17400,15,Mechanical,Pumped Hydro Storage,Operational
